name,rows,cols,nnzs,sparsity,FlashSparse_pre(ms),FlashSparse(ms),FlashSparse(GFLOPS),FlashSparse_map_pre(ms),FlashSparse_map(ms),FlashSparse_map(GFLOPS)
bcsstk18,11948,11948,149090,0.0010443788948628972,6.03376,0.04884,1562.94,2.33994,0.03359,2272.52
sinc15,11532,11532,568526,0.004275048669410032,7.25623,0.16333,1782.19,6.89292,0.10762,2704.75
lowThrust_5,16262,16262,198369,0.0007501116154467339,28.22004,0.37233,272.78,28.22491,0.24064,422.06
lowThrust_7,17378,17378,211561,0.0007005449800931065,30.50433,0.39004,277.71,40.19296,0.32635,331.91
conf5_4-8x8-15,49152,49152,1916928,0.00079345703125,10.46971,0.39229,2501.89,11.74495,0.26644,3683.63
wing_nodal,10937,10937,150976,0.0012621515083574108,3.00496,0.09370,824.97,2.92903,0.06380,1211.59
g7jac040sc,11790,11790,114671,0.000824946890055761,2.56459,0.06881,853.24,2.51040,0.04659,1260.17
nopoly,10774,10774,70842,0.0006102908675806483,1.50748,0.04557,795.94,1.48847,0.03287,1103.47
usps_norm_5NN,11000,11000,81112,0.0006703471074380166,2.08863,0.06175,672.54,2.19123,0.04250,977.16
